Continent_Name,Year,GDP,CO2 Emission,Temperature Change
Africa,1960,342927718131.10114,22.544664909265876,0.5464008000876189
Africa,1961,341389747540.6583,22.959047879265874,0.1424658564814815
Africa,1962,339122657617.2903,23.6801872201957,0.05077835648148147
Africa,1963,344456460205.76807,21.06313014262427,0.10640335648148147
Africa,1964,344004228059.4349,21.63674190271933,-0.02515914351851853
Africa,1965,239116130459.595,23.380357302719325,-0.11740914351851857
Africa,1966,241632932041.14215,25.179543623719322,0.20244502314814816
Africa,1967,237261117501.14117,34.25806307371932,-0.029784143518518515
Africa,1968,241197545050.3139,42.79414034271932,-0.10353414351851851
Africa,1969,248795624515.8392,44.89086420771932,0.3855491898148149
Africa,1970,259641010900.84412,45.87073130771932,0.34079918981481483
Africa,1971,262053464448.44656,43.134175661719325,-0.07615914351851852
Africa,1972,273325395811.07147,39.44947256565549,0.08669502314814813
Africa,1973,296255541744.96985,43.96896155865549,0.4733200231481481
Africa,1974,327929563866.15564,41.946113840655485,-0.11086747685185185
Africa,1975,346296932146.2113,41.67281829065549,-0.049324673821548815
Africa,1976,356159424823.0078,45.342207041655506,-0.11594891624579123
Africa,1977,375924783431.2721,46.491492309655484,0.36417608375420873
Africa,1978,404793692162.73895,49.889021029655495,0.24061168981481482
Africa,1979,451561307131.51404,51.65439816165546,0.46207191708754203
Africa,1980,474034868659.271,51.79429613265549,0.44561358375420873
Africa,1981,553594400852.0381,50.3629082716555,0.2032385837542087
Africa,1982,530784266912.1401,50.10167558265548,0.3437575231481482
Africa,1983,493577402870.2376,48.677758047655495,0.6308295260721247
Africa,1984,463347429610.36194,49.47381503265549,0.3802794928451179
Africa,1985,459256023263.5592,51.018112048655496,0.35506058667818535
Africa,1986,476881309274.8386,49.19496721965549,0.31369502314814807
Africa,1987,515968847401.6157,49.7047564176555,0.7602991898148147
Africa,1988,495737116258.823,50.7028522256555,0.6310900989057239
Africa,1989,496090179776.76,52.07044004465549,0.1515692655723906
Africa,1990,536675299945.47144,44.278711249379626,0.6344139625420877
Africa,1991,552743651781.9741,43.892901117629634,0.45512668184033317
Africa,1992,565046798977.0282,43.089436911,0.36319502314814806
